timestamp,saturation_status
22212675,1533
22233200,1533
23209582,1
24207784,1
25226990,1
26225512,1
27220956,1
28222667,1
29218600,1
30220060,1
31217852,1
32227729,1
33207241,1
34230443,1
35227803,1
36208977,1
37226259,1
38227921,1
39223198,1
40212279,1
41226064,1
42216495,1
43213147,1
44213134,1
45224325,1
46209280,1
47222394,1
48216727,1
50218535,1
51224053,1
52209048,1
53226990,1
54225153,1
55222371,1
56212233,1
57206660,1
58211736,1
59221560,1
60220811,1
61220083,1
62227280,1
63209776,1
64222614,1
65211187,1
66218020,1
67216264,1
68226236,1
69223697,1
70224619,1
71222191,1
72210518,1
73225576,1
74211055,1
75229853,1
76209309,1
77217329,1
78220812,1
80223707,1
81224251,1
82221717,1
83214935,1
84213592,1
85211497,1
86217491,1
88212917,1
89218736,1
90223891,1
91222385,1
92210779,1
93208993,1
94214449,1
95220848,1
96222348,1
97216118,1
98222044,1
99219111,1
100228853,1
101224727,1
102225550,1
103215989,1
104216727,1
105220680,1
106208755,1
107225898,1
108224293,1
109224991,1
110219103,1
111215440,1501
112212782,1277
113230680,1
