timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
23147688,23146715,396825,0.27727273,0.03181818,0.27878788,nan,0,0
29161854,29160933,396825,0.11742424,-0.3242424,0.2280303,nan,0,0
30164634,30163709,396825,0.05833333,-0.37272727,0.25757575,nan,0,0
32148191,32147270,396825,-0.047727272,-0.40151513,0.25227273,nan,0,0
33150790,33149868,396825,-0.07954545,-0.4022727,0.26666665,nan,0,0
35155753,35154833,396825,-0.13030303,-0.3810606,0.26666665,nan,0,0
36158091,36157166,396825,-0.18030302,-0.3901515,0.24090908,nan,0,0
38162557,38161636,396825,-0.14469697,-0.40833333,0.24924241,nan,0,0
39164486,39163540,396825,-0.07424242,-0.4212121,0.22348484,nan,0,0
41147739,41146813,396825,0.15378788,-0.3280303,0.23560606,nan,0,0
42149873,42148953,396825,0.23560606,-0.225,0.23712121,nan,0,0
43152542,43151622,396825,0.23712121,-0.070454545,0.21666665,nan,0,0
45156717,45155796,396825,0.10454545,0.15303029,0.17651515,nan,0,0
46159281,46158360,396825,-0.020454545,0.20681818,0.1681818,nan,0,0
48163510,48162590,396825,-0.25833333,0.13560605,0.17651515,nan,0,0
50146805,50145885,396825,-0.36893937,-0.027272727,0.2060606,nan,0,0
51149251,51148329,396825,-0.36666664,-0.09772727,0.20454545,nan,0,0
52151676,52150714,396825,-0.35833332,-0.111363634,0.21287878,nan,0,0
54155958,54155011,396825,-0.35227272,-0.11969697,0.2060606,nan,0,0
55158070,55157150,396825,-0.3469697,-0.11818182,0.225,nan,0,0
57162377,57161457,396825,-0.3310606,-0.11363636,0.2219697,nan,0,0
58164502,58163550,396825,-0.34318182,-0.095454544,0.21439393,nan,0,0
60147653,60146729,396825,-0.2280303,0.08863636,0.19393939,nan,0,0
61149995,61149059,396825,-0.22424242,0.09318182,0.2151515,nan,0,0
63154048,63153129,396825,-0.098484844,0.13484848,0.19696969,nan,0,0
64156705,64155786,396825,-0.05151515,0.14090909,0.21818182,nan,0,0
65158851,65157932,396825,-0.006818182,0.11742424,0.22878787,nan,0,0
66161085,66160165,396825,0.089393936,0.0840909,0.20984848,nan,0,0
67163487,67162567,396825,0.1780303,-0.047727272,0.2219697,nan,0,0
68165367,68164448,396825,0.12878788,-0.2340909,0.25984848,nan,0,0
70148385,70147465,396825,-0.1621212,-0.3439394,0.21666665,nan,0,0
71150353,71149434,396825,-0.25454545,-0.30681816,0.22348484,nan,0,0
72153007,72152087,396825,-0.28333333,-0.2992424,0.19772726,nan,0,0
73155171,73154252,396825,-0.26363635,-0.29166666,0.21969697,nan,0,0
75159046,75158126,396825,-0.24848484,-0.3151515,0.23560606,nan,0,0
76160971,76160052,396825,-0.2310606,-0.30378786,0.24242423,nan,0,0
78165347,78164427,396825,-0.25454545,-0.30681816,0.24924241,nan,0,0
82153262,82152327,396825,-0.24015151,-0.3121212,0.24015151,nan,0,0
83155672,83154752,396825,-0.2310606,-0.3371212,0.23712121,nan,0,0
85160544,85159622,396825,-0.17272727,-0.37045452,0.23863636,nan,0,0
86162460,86161541,396825,-0.15530303,-0.37575758,0.25227273,nan,0,0
88145879,88144955,396825,-0.1280303,-0.39166665,0.26136363,nan,0,0
92154237,92153315,396825,0.043939393,-0.41136363,0.27348483,nan,0,0
93156906,93155985,396825,0.12499999,-0.3590909,0.2651515,nan,0,0
94159079,94158160,396825,0.20530303,-0.27651516,0.2651515,nan,0,0
96163700,96162778,396825,0.22727272,-0.06363636,0.2280303,nan,0,0
98146955,98146035,396825,0.20681818,-0.0530303,0.21969697,nan,0,0
99149242,99148323,396825,0.19848484,-0.03560606,0.20757575,nan,0,0
101154002,101153083,396825,0.20530303,-0.04242424,0.21136363,nan,0,0
102155886,102154965,396825,0.2030303,-0.0530303,0.21666665,nan,0,0
104160533,104159614,396825,0.2060606,-0.04242424,0.2060606,nan,0,0
105162528,105161583,396825,0.20530303,-0.045454543,0.21666665,nan,0,0
107145877,107144949,396825,0.22272727,-0.044696968,0.18560605,nan,0,0
108148006,108147086,396825,0.22272727,-0.050757576,0.19242424,nan,0,0
